userId,temperature,flavor_1,flavor_2,flavor_3,drinkType_1,drinkType_2,drinkType_3,milk
advithiK,iced,hazelnut,caramel,matcha,latte,matcha,chai,Whole
anikalovescoffee,iced,vanilla,hazelnut,matcha,latte,cappuccino,flat white,Whole
kelseykoffee,hot,chocolate,vanilla,hazelnut,mocha,cold brew,americano,Whole
maya_mugs,hot,spiced,cinnamon,turmeric,chai,latte,matcha,Almond
leo.espresso,hot,bold,chocolate,nutty,espresso,americano,cortado,Oat
sarahsipz,iced,sweet,vanilla,caramel,cold brew,latte,cortado,Oat
coffeewithchris,hot,maple,honey,lavender,latte,flat white,espresso,Oat
jordan_brews,iced,dark,nutty,bold,cortado,flat white,cold brew,Whole
liam_latte,hot,spanish,pistachio,vanilla,latte,mocha,cappuccino,Oat
sophie_sips,iced,rose,matcha,jasmine,tea,matcha,americano,Whole
bean_enthusiast,hot,single-origin,smoky,fruity,espresso,tea,pour over,None
tiramisu_tom,iced,tiramisu,chocolate,creamy,latte,mocha,cold brew,Whole
horchata_hannah,iced,horchata,cinnamon,sweet,latte,chai,cold brew,Oat
chicory_charles,iced,chicory,bold,nutty,cold brew,au lait,espresso,Whole
berry_bella,cold,strawberry,berry,vanilla,matcha,tea,latte,Oat
cacao_cory,hot,spiced cacao,dark choc,peppermint,mocha,latte,macchiato,Half & Half